Genre,log_sales,Year,Platform
Action,0.0,2014.0,PS3
Action,0.0,2004.0,PS2
Action,0.09531017980432487,2014.0,WiiU
Action,0.019802627296179712,2008.0,X360
Action,0.0295588022415444,2010.0,PSP
Action,0.048790164169432,2008.0,X360
Simulation,0.5538851132264376,1997.0,PS
Action,0.019802627296179712,2014.0,PS3
Role-Playing,0.3784364357202451,1997.0,PS
Action,0.0,2012.0,X360
Action,0.5538851132264376,2002.0,PS2
Action,0.0,2013.0,PS3
Action,0.0,2013.0,PS3
Role-Playing,0.0,2011.0,X360
Action,0.0,2013.0,X360
Simulation,0.0,2008.0,DS
Action,0.009950330853168083,2013.0,X360
Simulation,0.11332868530700317,2006.0,PSP
Action,0.0,2011.0,PS3
Simulation,0.039220713153281295,2009.0,PS3
Action,0.0,2009.0,Wii
Action,0.3220834991691133,2000.0,PS2
Simulation,0.0,2012.0,PC
Role-Playing,0.0,2008.0,PC
Role-Playing,0.1484200051182733,2010.0,Wii
Role-Playing,0.23901690047049992,2010.0,DS
