Genre,log_sales,Year,Platform
Simulation,0.0,1997.0,PS
Action,0.49469624183610705,2010.0,PS3
Action,0.3001045924503381,2012.0,PS3
Action,0.3852624007906449,2008.0,PS3
Action,0.3074846997479606,2015.0,PC
Action,0.3920420877760237,2009.0,Wii
Action,0.7030975114131134,2012.0,X360
Action,0.2468600779315258,2009.0,PSP
Action,0.4252677354043441,2008.0,X360
Simulation,0.5128236264286639,2008.0,DS
Simulation,0.5007752879124893,2008.0,DS
Action,0.4510756193602166,2010.0,X360
Action,0.4252677354043441,2008.0,X360
Action,0.5128236264286639,2011.0,Wii
Action,0.43178241642553783,2011.0,X360
Action,0.5128236264286639,2010.0,X360
Action,0.27002713721306015,2012.0,PS3
Action,0.41871033485818504,2003.0,PS2
Action,0.3646431135879093,2008.0,PS3
Role-Playing,0.708035793053696,2001.0,PC
Action,0.5653138090500605,2004.0,GBA
Simulation,0.3987761199573678,2007.0,PS3
Action,0.4574248470388754,2014.0,X360
Action,0.3506568716131694,2014.0,Wii
Role-Playing,0.0,1996.0,PS
